"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
82862019,8286,2019,"MI0100100","MI0100100","","N","N",,"I","SP: ALCONA COUNTY","SP: ALCONA COUNTY","State Police:","Alcona County","A",26,"Michigan","MI","MI","3","East North Central","2","Midwest","Region II","State Police",0,23374,"MIUCR0001","Michigan State Police Criminal Justice Information Center ","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",1,0,1,0,0,0,0,0,01-OCT-94,01-JAN-98,01-JUL-09,01-JUL-12,01-JAN-17,01-JAN-17,"N","ALCONA","Non-MSA","Y","Y","Y"
82872019,8287,2019,"MI0110100","MI0110100","","N","N",,"I","ALCONA","ALCONA CO SO HARRISVILLE","Alcona","","A",26,"Michigan","MI","MI","3","East North Central","2","Midwest","Region II","County",10274,23374,"MIUCR0001","Michigan State Police Criminal Justice Information Center ","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",11,6,17,0,12,12,0,0,01-OCT-94,01-DEC-95,01-JUL-09,01-JUL-12,01-JAN-17,01-JAN-17,"N","ALCONA","Non-MSA","Y","Y","Y"
82902019,8290,2019,"MI0200200","MI0200200","","N","N",,"I","SP: ALGER COUNTY","SP: ALGER COUNTY","State Police:","Alger County","A",26,"Michigan","MI","MI","3","East North Central","2","Midwest","Region II","State Police",0,23374,"MIUCR0001","Michigan State Police Criminal Justice Information Center ","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",1,0,1,0,0,0,0,0,01-OCT-94,01-JAN-98,01-JUN-09,01-JUL-12,01-JAN-17,01-JAN-17,"N","ALGER","Non-MSA","Y","Y","Y"
82912019,8291,2019,"MI0210200","MI0210200","","N","N",,"I","ALGER","ALGER CO SO MUNISING","Alger","","A",26,"Michigan","MI","MI","3","East North Central","2","Midwest","Region II","County",6839,23374,"MIUCR0001","Michigan State Police Criminal Justice Information Center ","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",8,4,12,1,5,6,0,0,01-OCT-94,01-JAN-95,01-AUG-10,01-JUL-12,01-FEB-17,01-FEB-17,"N","ALGER","Non-MSA","Y","Y","Y"
82922019,8292,2019,"MI0260200","MI0260200","","N","N",,"I","MUNISING","MUNISING PD","Munising","","A",26,"Michigan","MI","MI","3","East North Central","2","Midwest","Region II","City",2177,23374,"MIUCR0001","Michigan State Police Criminal Justice Information Center ","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",4,0,4,0,0,0,0,0,01-OCT-94,01-JAN-96,01-JUL-09,01-JUL-12,01-JAN-17,01-JAN-17,"N","ALGER","Non-MSA","Y","Y","Y"
82932019,8293,2019,"MI0300300","MI0300300","","N","N",,"I","SP: ALLEGAN COUNTY","SP: ALLEGAN COUNTY","State Police:","Allegan County","A",26,"Michigan","MI","MI","3","East North Central","2","Midwest","Region II","State Police",0,23374,"MIUCR0001","Michigan State Police Criminal Justice Information Center ","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",42,2,44,2,3,5,0,0,01-OCT-94,01-JAN-98,01-JUN-09,01-JUL-12,01-JAN-17,01-JAN-17,"N","ALLEGAN","Non-MSA","Y","Y","Y"
82942019,8294,2019,"MI0310300","MI0310300","","N","N",,"I","ALLEGAN","ALLEGAN CO SO ALLEGAN","Allegan","","A",26,"Michigan","MI","MI","3","East North Central","2","Midwest","Region II","County",89222,23374,"MIUCR0001","Michigan State Police Criminal Justice Information Center ","N",14,"8B","Non-MSA counties from 25,000 thru 99,999","8","Non-MSA Counties","N",3,"R","Y",52,28,80,3,20,23,0,0,01-OCT-94,01-JAN-95,01-JUL-09,01-JUL-12,01-JAN-17,01-JAN-17,"N","ALLEGAN","Non-MSA","Y","Y","Y"
82952019,8295,2019,"MI0321000","MI0321000","","N","N",,"I","ALLEGAN","ALLEGAN PD","Allegan","","A",26,"Michigan","MI","MI","3","East North Central","2","Midwest","Region II","City",5038,23374,"MIUCR0001","Michigan State Police Criminal Justice Information Center ","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,0,8,0,1,1,0,0,01-OCT-94,01-JAN-97,01-JUL-09,01-JUL-12,01-JAN-17,01-JAN-17,"N","ALLEGAN","Non-MSA","Y","Y","Y"
82962019,8296,2019,"MI0335300","MI0335300","","N","N",,"I","SAUGATUCK-DOUGLAS","SAUGATUCK DOUGLAS POLICE DEPARTMENT","Saugatuck-Douglas","","A",26,"Michigan","MI","MI","3","East North Central","2","Midwest","Region II","City",2307,23374,"MIUCR0001","Michigan State Police Criminal Justice Information Center ","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",0,0,0,0,0,0,0,0,01-OCT-94,01-JAN-95,01-JUL-09,01-JUL-12,01-JAN-17,01-JAN-17,"N","ALLEGAN","Non-MSA","Y","Y","Y"
82972019,8297,2019,"MI0339200","MI0339200","","N","N",,"I","FENNVILLE","FENNVILLE PD","Fennville","","A",26,"Michigan","MI","MI","3","East North Central","2","Midwest","Region II","City",1421,23374,"MIUCR0001","Michigan State Police Criminal Justice Information Center ","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",1,0,1,0,0,0,0,0,01-OCT-94,01-JAN-13,01-FEB-14,01-FEB-14,01-JAN-17,01-JAN-17,"N","ALLEGAN","Non-MSA","Y","Y","Y"
82982019,8298,2019,"MI0347800","MI0347800","","N","N",,"I","HOPKINS","HOPKINS PD","Hopkins","","A",26,"Michigan","MI","MI","3","East North Central","2","Midwest","Region II","City",611,23374,"MIUCR0001","Michigan State Police Criminal Justice Information Center ","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",0,0,0,1,0,1,0,0,01-OCT-94,01-JAN-12,01-DEC-12,01-DEC-12,01-MAR-17,01-MAR-17,"N","ALLEGAN","Non-MSA","Y","Y","Y"
